9538	9569
2790	8840
9462	8587
3391	9632
5125	6628
4109	8762
5549	6558
9251	5333
9082	4344
8071	428
3326	4219
930	8856
310	5940
1625	465
6078	1470
8004	6615
246	2372
307	6174
5525	7934
3111	6988
5213	7248
9780	9904
354	9996
4218	3488
466	6904
57	8279
3713	961
9310	5767
7599	5992
3900	1848
1667	7134
7670	496
9273	9065
9565	8518
5224	4969
650	1363
3297	3409
2998	3886
85	5028
2447	4705
35	3354
3052	5455
3459	6577
6631	7952
2917	2954
8081	1597
8523	9970
1738	2124
5636	1303
1879	5466
1902	5686
3595	65
3579	514
5958	6618
1253	9840
274	1502
7601	7489
7700	6908
3739	916
928	9832
6957	9213
2405	8623
7866	3864
2466	4702
5792	3569
2316	6423
3876	2933
7297	2106
7685	4822
1324	1900
6491	1971
4201	9033
1919	934
591	8708
1408	8538
5578	7781
9458	4820
5911	3229
9268	8681
325	9055
9405	9158
7799	9662
7652	4451
8343	9167
3344	1405
6236	7340
1316	3856
1748	6565
756	4286
9490	269
734	3520
689	2810
4035	4178
3541	5163
1314	3827
8955	6910
5524	3458
5867	2786
8802	7258
7513	9924
7244	5138
905	3681
9166	7962
9359	1616
8849	7878
4101	7146
1189	1074
9032	8772
6345	858
2569	5769
4599	8674
5962	6932
6165	1988
5035	3837
3582	5261
7644	5967
6016	8755
1493	2639
4555	8282
9228	8516
8692	2093
5873	1063
715	5394
9507	5777
3152	5482
7380	2736
1530	2643
8658	297
3768	6463
4181	5688
7560	7707
9235	4617
4566	9999
9678	203
235	7497
9286	3468
1656	1212
200	5692
5004	3265
8775	7222
9906	6882
3033	8942
5577	6590
3474	6827
7888	3150
8197	4806
553	947
576	6834
6403	2650
7904	6413
4943	2993
945	3435
5217	7455
3609	8217
2973	3703
9609	985
2523	4685
2038	58
9718	9177
444	4391
9171	5129
437	7296
2816	8575
5108	2878
9398	7944
2072	73
9415	1671
4857	8442
7072	3178
3896	9164
7668	9866
3510	8409
6195	1429
6057	656
563	2203
7494	5127
7384	447
5469	5385
9722	9625
9525	2918
5159	2220
1340	8183
4135	7178
6881	2019
6873	4886
8757	4619
5628	9480
3431	8550
8381	2809
7285	7754
1209	6670
1546	5495
9680	4277
940	969
600	8302
9131	8727
4283	6505
5397	3576
2424	6448
6135	9926
505	9800
5257	4224
2396	4380
2581	7998
5620	5699
2045	9481
4701	9098
3388	3010
1452	8389
1661	3142
9002	5160
3043	7856
8207	411
9255	9483
9193	5005
8620	8175
409	3280
3532	4067
7642	5500
6771	1088
7873	2070
1319	242
8815	6660
9815	3752
9593	6997
8456	1705
1905	248
1381	8908
5945	2095
4125	3254
5401	3420
3503	7647
9094	701
828	4770
857	5382
333	7846
8698	4236
3205	5922
9781	4273
5545	8885
9491	8061
2503	8208
4216	9594
4421	817
9141	5738
2105	6449
1967	226
4193	4353
2435	8100
3764	475
7687	4802
8636	9943
1924	2811
6219	1941
1494	2212
4276	5863
725	2263
6886	4448
6031	416
1170	8246
4389	9494
1860	574
7472	8695
3877	850
622	8841
3921	5464
7289	2143
443	4338
6415	1311
3534	8036
6223	8353
270	3253
8446	1970
4896	4537
9835	7417
4944	604
3657	5470
1480	2630
2636	4158
6047	7361
2711	7422
803	5346
9798	2138
8825	9311
6562	3220
5404	3242
9775	6427
6833	5661
8185	2782
8034	7950
7693	3939
3252	29
2642	2264
8093	7505
4495	2463
906	1228
9799	2351
5750	5094
4278	6731
776	6789
6586	1602
7238	8017
8906	3310
4551	9548
770	4061
5606	5844
4905	4222
5050	4064
3380	3862
1086	6867
648	8451
2988	609
6481	7155
9791	7737
1536	1605
1679	7405
5375	3561
86	4113
6428	1647
3932	9283
6937	5840
8428	3853
3405	2743
6659	1564
7391	7564
1446	6764
7973	5105
3116	2908
3071	2255
6536	5960
7606	4794
1854	8445
170	6145
4364	4725
6480	3533
9500	9952
3389	8244
923	9992
5986	4385
5218	3700
4981	3129
3632	7929
7501	7377
5982	5784
4441	7946
5948	550
2580	1518
250	3248
8786	2945
9974	4255
6741	7301
113	2234
2910	2248
4173	1732
1268	6696
5146	4290
6639	5406
917	562
3452	989
3672	4824
8673	1918
8509	2096
7660	5457
3602	4699
5056	596
8923	8312
2808	4953
8530	7448
2012	8659
5678	2797
2648	6738
9826	8241
7432	7876
1057	9388
6874	5111
2893	809
9457	4978
8829	4577
8730	9401
64	2821
1079	5968
3139	2201
1519	5997
